uke2_1_neu,uke2_2_neu,uke2_3_neu,recoded_uke2_4_neu,uke2_5_neu,recoded_uke2_6_neu,uke2_7_neu,recoded_uke2_8_neu,uke2_9_neu,age_group,q1,educ_rec,Parties,weight
4,4,3,4,3,1,4,2,4,5,1,2,1,1.24791055458109
1,4,1,2,1,1,3,3,2,3,1,3,5,1.3210792023020996
3,4,3,4,4,1,3,2,3,2,2,3,2,1.1295241452650577
3,4,4,4,3,1,3,2,3,6,2,2,1,1.1023569389962005
4,4,3,3,4,2,4,3,3,3,1,3,NA,0.9371745094165548
3,3,3,4,3,4,4,1,2,5,2,2,NA,1.9299695325423842
3,4,2,3,2,2,4,2,1,1,2,2,NA,0.7172251083391293
2,2,2,NA,3,2,NA,2,2,2,2,2,NA,0.7987027526112805
3,2,3,3,2,2,3,3,4,2,1,3,6,0.9159895347033467
2,3,2,2,3,1,3,1,3,2,2,3,4,0.7792865510084714
4,4,4,4,4,1,4,1,4,3,2,2,2,1.5065014232540082
1,2,1,2,2,1,2,1,2,6,2,1,NA,0.927244575855745
3,4,3,4,4,2,3,1,3,5,1,1,2,1.3260789897894374
1,1,1,1,1,1,1,1,1,3,1,1,NA,1.0672246803405523
4,4,4,2,4,4,4,2,3,6,1,1,NA,0.8784022544653978
2,4,2,4,2,2,3,4,1,3,1,2,4,0.7851498523691731
3,4,3,4,4,3,4,2,4,6,1,3,1,0.735127200714064
3,4,4,4,4,2,4,2,4,6,2,1,2,1.3323652942500412
3,3,3,4,3,3,3,3,3,6,2,2,3,0.7810971689024294
4,4,4,4,4,4,4,3,4,6,1,3,1,0.7681357037163707
3,3,3,3,3,2,3,3,3,4,2,1,NA,0.8625266867672567
1,3,1,2,2,1,3,1,1,3,2,2,NA,1.0478748496639176
4,3,2,3,4,1,4,2,3,3,2,3,6,0.8568531277395771
3,4,4,4,4,1,4,3,3,1,1,3,1,0.6977509878004621
1,1,1,4,1,1,1,4,3,1,2,2,NA,1.1220972709274493
1,2,2,3,2,2,3,2,2,1,2,3,NA,1.1940840205749637
1,1,1,NA,1,1,1,1,1,6,2,3,4,1.1849539322036013
2,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,4,1.2008351155759092
4,4,3,3,3,2,3,2,4,5,1,3,1,0.9899787289091596
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,1.0163155916307007
4,4,4,4,4,NA,4,1,4,1,2,3,3,0.7894400647828325
2,3,1,1,3,1,2,1,1,5,1,2,NA,1.0229516134286145
1,3,1,3,2,1,3,1,1,4,1,2,4,1.0741668160944249
3,3,3,3,4,3,4,3,3,4,1,3,1,1.0266179197334817
4,4,3,3,4,1,4,2,4,6,1,3,1,0.735127200714064
3,3,3,2,3,2,3,2,3,2,1,3,2,1.5404523261595593
NA,NA,NA,4,4,1,NA,NA,NA,1,2,2,1,1.2585222723376572
4,3,4,2,3,1,3,2,3,2,2,3,2,1.264443038978657
2,1,2,2,4,1,3,3,4,1,1,NA,NA,1.0001945601358682
3,4,3,3,4,4,4,1,4,1,1,3,6,0.7510879751871743
3,3,3,2,3,2,3,2,3,3,1,1,6,1.0608557087818289
2,3,2,4,3,2,3,1,2,5,2,2,4,0.7172409587750964
4,4,4,1,4,1,4,1,4,4,1,1,2,0.8098439952601554
4,4,3,3,4,3,3,2,3,4,1,2,NA,1.3584230406078242
1,1,1,4,1,4,1,4,1,2,2,NA,NA,0.7932051617778718
1,1,1,4,1,1,1,1,1,5,1,3,4,0.8797831270166997
4,4,4,4,4,1,4,1,4,5,1,NA,5,0.7454797988056172
1,3,1,1,1,1,2,1,1,4,1,1,2,1.2573539561820217
3,4,1,3,3,1,3,1,2,3,1,1,NA,0.9673753506797195
4,3,4,3,4,3,4,2,4,2,1,3,3,0.8765610479987855
4,3,3,3,3,2,4,1,3,1,1,3,NA,1.294064480893522
2,3,3,NA,3,1,3,1,3,5,2,3,1,0.96703719953539935
2,2,2,3,2,3,2,3,1,4,1,2,5,1.414482532896425
3,3,3,4,4,3,4,NA,3,5,1,3,3,0.9153057041426121
3,4,3,4,2,4,NA,3,3,4,1,2,NA,0.818591314466498
2,2,2,3,2,1,2,2,2,4,1,2,1,0.9288971557629928
1,1,1,4,1,1,1,2,1,5,1,3,2,0.956504174987458
2,NA,1,2,2,1,NA,2,NA,6,1,2,4,0.7993691015882339
3,4,3,2,2,1,2,2,3,1,1,3,2,1.5206952332994366
1,3,1,4,2,1,3,1,2,6,2,3,NA,1.7618840442726256
2,3,2,3,3,2,3,1,3,4,2,3,NA,1.3004171285565629
4,4,4,4,4,3,4,NA,4,6,2,3,3,1.0849305127762185
NA,4,3,3,3,2,4,NA,3,2,1,3,5,0.8362583098388117
3,3,2,2,3,2,4,1,4,3,2,2,4,0.8514844394414747
1,1,1,NA,NA,1,1,1,1,4,2,3,1,0.8575904114878138
4,4,2,4,4,3,4,3,3,6,2,2,1,0.6440946412896666
3,4,3,4,4,3,4,2,4,3,1,3,2,0.8606737482939238
4,4,4,3,4,3,4,NA,3,5,1,1,NA,0.8784022544653978
1,2,1,1,1,1,3,1,1,4,1,1,4,0.6721444987338733
